"","X","year","age","age_comp","p","q","Nya"
"1",1,1977,"Age 5",NA,0.585139280257747,NA,NA
"2",4,1978,"Age 5",NA,0.586923135592822,NA,NA
"3",7,1979,"Age 5",NA,0.585090524729783,NA,NA
"4",10,1980,"Age 5",NA,0.564985149113823,NA,NA
"5",13,1981,"Age 5",NA,0.53520990128868,NA,NA
"6",16,1982,"Age 5",NA,0.724517025906157,NA,NA
"7",19,1983,"Age 5",NA,0.637249227903504,0.564202977214573,10871.8708479684
"8",22,1984,"Age 5",NA,0.772290705364245,0.586229781299597,11193.5891443214
"9",25,1985,"Age 5",NA,0.650791155972394,0.60083750928703,9966.7117868488
"10",28,1986,"Age 5",0.474747474747475,0.474961714815121,0.478515463022778,6494.66167542739
"11",31,1987,"Age 5",0.93,0.635538889402073,0.9025420960275,17811.7701368357
"12",34,1988,"Age 5",0.57,0.628787270392198,0.560846287304838,5079.79066874354
"13",37,1989,"Age 5",0.69,0.419857481767684,0.684066475201507,14728.0887782768
"14",40,1990,"Age 5",0.54,0.66420940463233,0.544314024370709,11158.6535393305
"15",43,1991,"Age 5",NA,0.696083445828255,0.57176413928213,9202.71380419161
"16",46,1992,"Age 5",0.57,0.624281789625659,0.569269042074486,11400.4139836317
"17",49,1993,"Age 5",NA,0.584561791061514,0.605078328417671,15996.3550071578
"18",52,1994,"Age 5",NA,0.512781440981866,0.621589431022559,7916.08268571234
"19",55,1995,"Age 5",0.465346534653465,0.652681177712519,0.467435340334552,7564.45715424965
"20",58,1996,"Age 5",0.87,0.604895496119133,0.852704783740812,16208.1868702376
"21",61,1997,"Age 5",0.49,0.381599673315448,0.494505514906574,4581.21226048207
"22",64,1998,"Age 5",0.48,0.702947802240559,0.484171713933719,6708.36729802712
"23",67,1999,"Age 5",0.6,0.770051859452111,0.597567745352617,7523.91581510801
"24",70,2000,"Age 5",0.53,0.666522137841043,0.528337149482659,9384.00851360262
"25",73,2001,"Age 5",0.595959595959596,0.584103595533015,0.603694829594553,12809.3688886988
"26",76,2002,"Age 5",0.41,0.50205190525417,0.421521190705337,5153.25435547574
"27",79,2003,"Age 5",0.84,0.776262890392066,0.816712638204708,16891.0706918229
"28",82,2004,"Age 5",0.727272727272727,0.762274709167712,0.715502819234305,13617.0061236351
"29",85,2005,"Age 5",0.69,0.761517554533852,0.684920764633039,10976.8724434506
"30",88,2006,"Age 5",0.58,0.590909412395797,0.58755274718278,6977.18548247046
"31",91,2007,"Age 5",0.74,0.641572974973066,0.725680785960917,4779.23687914946
"32",94,2008,"Age 5",0.77,0.614811264159839,0.749069221029868,5504.69267528316
"33",97,2009,"Age 5",0.707070707070707,0.47894141401168,0.689661721053931,6325.88704963036
"34",100,2010,"Age 5",0.77,0.392361666176807,0.758316711409081,9770.67335764011
"35",103,2011,"Age 5",0.62,0.461341911202574,0.615956870225484,4687.10970731884
"36",106,2012,"Age 5",NA,0.377606574219891,0.609159252747579,5759.64832459166
"37",109,2013,"Age 5",NA,0.482436475525895,0.519455835622245,5509.67216088787
"38",112,2014,"Age 5",0.43,0.31694198521493,0.445555260588928,3891.89435145777
"39",115,2015,"Age 5",0.47,0.538712991079943,0.483929968174335,3131.59532336855
"40",118,2016,"Age 5",0.25,NA,0.275346043031776,2927.13656637846
"41",121,2017,"Age 5",0.811881188118812,NA,0.798157394901481,4591.54424067601
"42",124,2018,"Age 5",0.1,NA,0.143712852640751,1049.29552303069
"43",127,2019,"Age 5",0.35,NA,0.370160080331207,3015.28392593487
"44",2,1977,"Ages 2-4",NA,0.385937470737814,NA,NA
"45",5,1978,"Ages 2-4",NA,0.38208760021706,NA,NA
"46",8,1979,"Ages 2-4",NA,0.387074378714014,NA,NA
"47",11,1980,"Ages 2-4",NA,0.400100647176745,NA,NA
"48",14,1981,"Ages 2-4",NA,0.432238103807069,NA,NA
"49",17,1982,"Ages 2-4",NA,0.267387568870576,NA,NA
"50",20,1983,"Ages 2-4",NA,0.195599681058821,0.403488884365547,7575.75540703655
"51",23,1984,"Ages 2-4",NA,0.196176727506152,0.380804297914861,7193.99231353181
"52",26,1985,"Ages 2-4",NA,0.323654017696758,0.363678117758025,5870.92255107266
"53",29,1986,"Ages 2-4",0.484848484848485,0.491623140034456,0.48237456214229,6541.9656213382
"54",32,1987,"Ages 2-4",0.05,0.326367768423171,0.0774327078937885,1522.78248697421
"55",35,1988,"Ages 2-4",0.41,0.354174293383863,0.417388908767123,3779.86238196464
"56",38,1989,"Ages 2-4",0.24,0.476251887125645,0.255728928005289,5505.284395459
"57",41,1990,"Ages 2-4",0.43,0.331135940066081,0.426142684055607,8731.8201997423
"58",44,1991,"Ages 2-4",NA,0.298982032995994,0.398480585417424,6384.29779940771
"59",47,1992,"Ages 2-4",0.4,0.370323351591584,0.401306699522991,8031.91769689825
"60",50,1993,"Ages 2-4",NA,0.402477929366499,0.364022915804485,9463.23628172725
"61",53,1994,"Ages 2-4",NA,0.483628086723884,0.342763177233747,4151.54004468532
"62",56,1995,"Ages 2-4",0.425742574257426,0.34294216877822,0.430429259243538,6963.23880159226
"63",59,1996,"Ages 2-4",0.13,0.393303995628115,0.144469813986977,2743.88105171172
"64",62,1997,"Ages 2-4",0.5,0.614008431670163,0.493132142102903,4569.31046092389
"65",65,1998,"Ages 2-4",0.52,0.294640379536965,0.512961502593647,7100.22736922827
"66",68,1999,"Ages 2-4",0.39,0.210841139618976,0.390717916239727,4917.08252509191
"67",71,2000,"Ages 2-4",0.47,0.324597515901922,0.468686312915852,8322.4831246239
"68",74,2001,"Ages 2-4",0.404040404040404,0.394003311796884,0.393346101500442,8345.13346114448
"69",77,2002,"Ages 2-4",0.59,0.49558387604637,0.575412556564377,7039.86484826036
"70",80,2003,"Ages 2-4",0.16,0.219928497000918,0.180412310856503,3726.58471238508
"71",83,2004,"Ages 2-4",0.272727272727273,0.219518977555577,0.28145570674736,5353.7286388229
"72",86,2005,"Ages 2-4",0.29,0.220405122540153,0.294020891537225,4706.00448732112
"73",89,2006,"Ages 2-4",0.41,0.370251986188678,0.400170109665844,4749.40959535975
"74",92,2007,"Ages 2-4",0.22,0.318762259871087,0.234847686809793,1546.03697153932
"75",95,2008,"Ages 2-4",0.23,0.372156764629252,0.247845465678132,1820.47152473454
"76",98,2009,"Ages 2-4",0.292929292929293,0.518861998253885,0.307401615969875,2821.16653579098
"77",101,2010,"Ages 2-4",0.22,0.591885590119119,0.229928798362217,2960.144381809
"78",104,2011,"Ages 2-4",0.35,0.528113340276929,0.353678663773186,2691.32828827208
"79",107,2012,"Ages 2-4",NA,0.620605380297975,0.354106203918701,3350.89804085249
"80",110,2013,"Ages 2-4",NA,0.507090093737499,0.442385974038682,4676.06063753325
"81",113,2014,"Ages 2-4",0.56,0.655697829776525,0.542906739219694,4742.40344768403
"82",116,2015,"Ages 2-4",0.53,0.433980175635747,0.513292139258914,3321.31392736703
"83",119,2016,"Ages 2-4",0.74,NA,0.712753825010737,7578.79686656165
"84",122,2017,"Ages 2-4",0.178217821782178,NA,0.190290230532702,1094.6408572817
"85",125,2018,"Ages 2-4",0.9,NA,0.85330590599763,6238.08623670249
"86",128,2019,"Ages 2-4",0.65,NA,0.627043773625094,5107.28639429858
"87",3,1977,"Ages 6-8",NA,0.0289232490044391,NA,NA
"88",6,1978,"Ages 6-8",NA,0.0309892641901182,NA,NA
"89",9,1979,"Ages 6-8",NA,0.0278350965562038,NA,NA
"90",12,1980,"Ages 6-8",NA,0.0349142037094325,NA,NA
"91",15,1981,"Ages 6-8",NA,0.0325519949042509,NA,NA
"92",18,1982,"Ages 6-8",NA,0.00809540522326776,NA,NA
"93",21,1983,"Ages 6-8",NA,0.167151091037675,0.0323081384198791,600.003483065099
"94",24,1984,"Ages 6-8",NA,0.0315325671296032,0.0329659207855421,613.976224154807
"95",27,1985,"Ages 6-8",NA,0.0255548263308487,0.0354843729549449,561.093539348191
"96",30,1986,"Ages 6-8",0.0404040404040404,0.0334151451504231,0.0391099748349322,529.612174904879
"97",33,1987,"Ages 6-8",0.02,0.0380933421747561,0.020025196078711,395.019630721436
"98",36,1988,"Ages 6-8",0.02,0.0170384362239391,0.0217648039280385,196.973437424516
"99",39,1989,"Ages 6-8",0.07,0.103890631106671,0.0602045967932039,1295.15353835412
"100",42,1990,"Ages 6-8",0.03,0.00465465530158854,0.0295432915736836,604.409040337446
"101",45,1991,"Ages 6-8",NA,0.00493452117575069,0.029755275300446,471.202650481987
"102",48,1992,"Ages 6-8",0.03,0.00539485878275651,0.0294242584025228,587.975852302558
"103",51,1993,"Ages 6-8",NA,0.0129602795719872,0.0308987557778434,797.840609314127
"104",54,1994,"Ages 6-8",NA,0.00359047229424976,0.035647391743694,419.004825246832
"105",57,1995,"Ages 6-8",0.108910891089109,0.00437665350926027,0.102135400421909,1653.76609881471
"106",60,1996,"Ages 6-8",0,0.00180050825275221,0.00282540227221064,53.8323896170285
"107",63,1997,"Ages 6-8",0.01,0.00439189501438871,0.0123623429905237,114.556419933236
"108",66,1998,"Ages 6-8",0,0.00241181822247551,0.0028667834726341,39.7148520176389
"109",69,1999,"Ages 6-8",0.01,0.0191070009289125,0.0117143384076569,147.364941675302
"110",72,2000,"Ages 6-8",0,0.00888034625703492,0.00297653760148818,52.5669442057339
"111",75,2001,"Ages 6-8",0,0.021893092670101,0.00295906890500459,62.5473401549637
"112",78,2002,"Ages 6-8",0,0.00236421869945985,0.00306625273028662,37.821661138981
"113",81,2003,"Ages 6-8",0,0.00380861260701644,0.0028750509387889,59.5728072774426
"114",84,2004,"Ages 6-8",0,0.0182063132767108,0.00304147401833527,57.8721477471697
"115",87,2005,"Ages 6-8",0.02,0.0180773229259948,0.0210583438297359,337.005663642476
"116",90,2006,"Ages 6-8",0.01,0.0388386014155253,0.0122771431513757,145.806039817899
"117",93,2007,"Ages 6-8",0.04,0.0396647651558468,0.0394715272292903,259.837066044738
"118",96,2008,"Ages 6-8",0,0.0130319712109094,0.00308531329200013,22.5784331507037
"119",99,2009,"Ages 6-8",0,0.00219658773443524,0.00293666297619396,26.9231666498663
"120",102,2010,"Ages 6-8",0.01,0.0157527437040736,0.0117544902287026,151.360154202787
"121",105,2011,"Ages 6-8",0.03,0.0105447485204971,0.0303644660013294,230.67448904681
"122",108,2012,"Ages 6-8",NA,0.00178804548213425,0.0367345433337194,347.523748391931
"123",111,2013,"Ages 6-8",NA,0.0104734307366062,0.038158190339073,402.63160044034
"124",114,2014,"Ages 6-8",0.01,0.0273601850085453,0.0115380001913779,100.564756904176
"125",117,2015,"Ages 6-8",0,0.0273068332843094,0.00277789256675099,17.9941266054906
"126",120,2016,"Ages 6-8",0.01,NA,0.0119001319574864,126.480022212433
"127",123,2017,"Ages 6-8",0.0099009900990099,NA,0.0115523745658166,66.4411454127493
"128",126,2018,"Ages 6-8",0,NA,0.00298124136161847,21.8014885048358
"129",129,2019,"Ages 6-8",0,NA,0.00279614604369945,22.7837989844452
